     0.00500     99.70369     22.56901
     0.00600    109.24949     12.10049
     0.00700    111.59253      6.05616
     0.00800    111.86582      3.39961
     0.00900    108.98421      2.17491
     0.01000    108.46011      1.66725
     0.01100    104.53019      1.13126
     0.01200    102.39383      0.85754
     0.01300    100.40107      0.68207
     0.01400     98.69495      0.58728
     0.01500     96.82241      0.52554
     0.01600     93.20047      0.47734
     0.01700     90.04815      0.41841
     0.01800     87.65570      0.40837
     0.01900     85.62005      0.37502
     0.02000     81.63360      0.35461
     0.02100     79.12215      0.33087
     0.02200     76.34786      0.31051
     0.02300     73.61341      0.28605
     0.02400     70.17049      0.27233
     0.02500     67.66314      0.27927
     0.02600     65.08221      0.25577
     0.02700     62.12194      0.24661
     0.02800     59.67677      0.23103
     0.02900     57.07329      0.22621
     0.03000     54.49154      0.21848
     0.03100     51.66108      0.20870
     0.03200     49.66066      0.20319
     0.03300     47.52355      0.19359
     0.03400     44.82784      0.18403
     0.03500     42.64990      0.18175
     0.03600     40.53377      0.17194
     0.03700     38.73853      0.16644
     0.03800     36.60880      0.15992
     0.03900     34.85189      0.15661
     0.04000     32.90630      0.15122
     0.04100     31.55450      0.14118
     0.04200     29.48178      0.13929
     0.04300     28.19963      0.13677
     0.04400     27.17962      0.13041
     0.04500     25.53110      0.12919
     0.04600     24.10908      0.12463
     0.04700     23.05789      0.12299
     0.04800     21.95550      0.11522
     0.04900     20.78650      0.11430
     0.05000     19.70339      0.08953
     0.05200     18.10050      0.07414
     0.05400     16.56231      0.07177
     0.05600     15.23460      0.06895
     0.05800     14.16064      0.06516
     0.06000     13.13370      0.06340
     0.06200     12.29776      0.06181
     0.06400     11.58767      0.06180
     0.06600     10.94504      0.06325
     0.06800     10.50163      0.06106
     0.07000      9.86360      0.05932
     0.07200      9.56788      0.05899
     0.07400      9.11675      0.05934
     0.07600      8.56290      0.05939
     0.07800      8.13005      0.05986
     0.08000      7.70239      0.05690
     0.08200      7.33051      0.05488
     0.08400      7.05046      0.05491
     0.08600      6.58524      0.05277
     0.08800      6.24767      0.05155
     0.09000      5.84840      0.05118
     0.09200      5.55437      0.04919
     0.09400      5.22809      0.04806
     0.09600      4.90368      0.04737
     0.09800      4.63201      0.04919
     0.10000      4.21079      0.03547
     0.10500      3.66317      0.02833
     0.11000      3.09385      0.08456
     0.11500      2.59005      0.06793
     0.12000      2.14667      0.05672
     0.12500      1.89422      0.05470
     0.13000      1.62204      0.05005
     0.13500      1.42248      0.04858
     0.14000      1.27130      0.04852
     0.14500      1.17276      0.04611
     0.15000      1.10003      0.04782
     0.15500      1.01342      0.04396
     0.16000      0.90563      0.04092
     0.16500      0.88455      0.04200
     0.17000      0.79803      0.04173
     0.17500      0.74105      0.03925
     0.18000      0.67848      0.03896
     0.18500      0.58150      0.03825
     0.19000      0.53436      0.03665
     0.19500      0.48547      0.03816
     0.20000      0.43839      0.03583
     0.20500      0.38741      0.03559
     0.21000      0.38123      0.03439
     0.21500      0.34760      0.03419
     0.22000      0.32099      0.03609
     0.22500      0.29693      0.03524
     0.23000      0.29086      0.03471
     0.23500      0.28889      0.03511
     0.24000      0.23564      0.03451
     0.24500      0.25602      0.03414
     0.25000      0.23430      0.03421
     0.25500      0.21901      0.03380
     0.26000      0.17468      0.03408
     0.26500      0.22410      0.03684
